"nuclide","MgO","Cl uncertainty","shielding factor","Th","Al2O3","default sea level pressure","TiO2","density","Fe2O3","clRatio","thickness","K2O","clRatio uncertainty","latitude","B","elevation","SiO2","U","Sm","MnO","default sea level temperature","CO2","id","Cl","P2O5","volumetric water","longitude","Na2O","Gd","CaO","default lapse rate"
36Cl,0.67,5.9,0.99,6.0,14.2,1033.8,0.32,2.75,2.63,1461.0,3.0,4.03,44.0,37.315,6.6,1640.0,72.3,4.0,3.9,0.07,23.31,0.0,BPCR90-67,118.0,0.2,0.005,241.48,3.66,3.9,1.88,6.93
36Cl,0.47,1.6,0.99,6.0,13.5,1033.8,0.29,2.75,2.21,3675.0,3.0,3.59,275.0,37.315,6.6,1630.0,73.7,4.0,3.9,0.09,23.31,0.0,BPCR91B-5,32.0,0.07,0.005,241.48,4.03,3.9,1.51,6.93
36Cl,0.33,5.5,0.99,6.0,14.6,1033.8,0.2,2.65,1.4,773.0,3.0,3.94,58.0,37.315,8.1,1630.0,73.2,4.0,4.6,0.03,23.31,0.0,BPCR91B-8,109.0,0.03,0.005,241.48,4.18,4.6,1.31,6.93
36Cl,2.04,6.6,0.99,6.0,18.4,1033.8,1.14,2.9,7.93,1010.0,3.0,2.3,76.0,37.315,5.8,1630.0,57.7,4.0,8.8,0.37,23.31,0.0,BPCR91B-9,131.0,0.18,0.005,241.48,5.36,8.8,4.07,6.93
36Cl,0.2,7.0,0.99,6.0,13.6,1033.8,0.52,2.7,1.28,1576.0,3.0,4.19,118.0,37.315,6.1,1630.0,74.2,4.0,1.8,0.04,23.31,0.0,BPCR91B-16,139.0,0.03,0.005,241.48,3.68,1.8,1.44,6.93
36Cl,1.45,2.4,0.99,6.0,17.8,1033.8,0.53,2.8,4.24,1312.0,3.0,1.35,98.0,37.315,7.2,1630.0,63.3,4.0,4.3,0.07,23.31,0.0,BPCR91B-19,48.0,0.05,0.005,241.48,4.5,4.3,5.29,6.93
36Cl,3.62,3.7,0.99,6.0,18.26,1033.8,0.68,2.85,6.0,2580.0,3.0,2.67,138.0,37.315,6.6,1760.0,63.53,4.0,3.9,0.09,23.31,0.0,BPCR90-48,74.0,0.32,0.005,241.48,3.57,3.9,4.75,6.93
36Cl,2.57,6.1,0.99,6.0,16.25,1033.8,0.58,2.8,5.68,1140.0,3.0,2.8,68.0,37.315,11.0,1770.0,62.71,4.0,4.0,0.09,23.31,0.0,BPCR90-49,122.0,0.2,0.005,241.48,3.44,4.0,5.01,6.93
36Cl,0.54,2.8,0.99,6.0,11.62,1033.8,0.12,2.7,0.84,1949.0,3.0,4.94,119.0,37.315,6.6,1740.0,79.06,4.0,3.9,0.03,23.31,0.0,BPCR90-50,56.0,0.03,0.005,241.48,2.7,3.9,0.6,6.93
36Cl,2.71,7.3,0.99,6.0,16.1,1033.8,0.64,2.8,6.02,1703.0,3.0,2.83,110.0,37.315,6.7,1710.0,61.76,4.0,3.7,0.09,23.31,0.0,BPCR90-51,145.0,0.19,0.005,241.48,3.21,3.7,4.87,6.93
36Cl,0.67,1.6,0.99,6.0,14.12,1033.8,0.25,2.75,1.92,4930.0,3.0,4.2,228.0,37.315,6.6,1710.0,71.93,4.0,3.9,0.07,23.31,0.0,BPCR90-52,32.0,0.08,0.005,241.48,3.73,3.9,1.67,6.93
36Cl,3.82,13.9,0.99,6.0,18.1,1033.8,0.7,2.85,7.78,770.0,3.0,0.81,70.0,37.315,7.2,1740.0,53.6,4.0,4.3,0.14,23.31,0.0,BPCR92-1,278.0,0.04,0.005,241.48,3.38,4.3,8.86,6.93
36Cl,1.21,4.6,0.99,6.0,16.5,1033.8,0.29,2.8,4.07,1402.0,3.0,1.75,200.0,37.315,7.2,1740.0,66.5,4.0,4.3,0.06,23.31,0.0,BPCR92-2,92.0,0.03,0.005,241.48,3.97,4.3,5.34,6.93
36Cl,1.23,6.9,0.99,6.0,14.75,1033.8,0.33,2.75,2.21,1246.0,3.0,3.89,91.0,37.315,6.6,1810.0,70.96,4.0,3.9,0.07,23.31,0.0,BPCR90-68,137.0,0.13,0.005,241.48,3.61,3.9,1.91,6.93
36Cl,2.11,8.4,0.99,6.0,14.6,1033.8,0.33,2.75,2.11,1168.0,3.0,4.28,66.0,37.315,6.6,1810.0,71.0,4.0,3.9,0.06,23.31,0.0,BPCR90-69,168.0,0.11,0.005,241.48,4.26,3.9,1.74,6.93
36Cl,4.19,7.1,0.99,6.0,14.73,1033.8,0.27,2.75,2.19,1530.0,3.0,4.24,146.0,37.315,6.6,1810.0,76.03,4.0,3.9,0.05,23.31,0.0,BPCR90-70,142.0,0.08,0.005,241.48,4.24,3.9,1.79,6.93
36Cl,5.18,9.3,0.99,6.0,17.47,1033.8,0.64,2.9,7.4,1378.0,3.0,2.13,82.0,37.315,7.2,1790.0,61.06,4.0,4.3,0.12,23.31,0.0,BPCR90-71,185.0,0.18,0.005,241.48,3.18,4.3,6.11,6.93
36Cl,0.27,3.6,0.99,6.0,12.34,1033.8,0.15,2.7,0.83,2387.0,3.0,5.29,122.0,37.315,6.6,1790.0,74.33,4.0,3.9,0.02,23.31,0.0,BPCR90-72,72.0,0.05,0.005,241.48,2.85,3.9,0.75,6.93
36Cl,3.59,4.8,0.99,6.0,18.55,1033.8,0.77,2.85,6.45,1300.0,3.0,2.35,70.0,37.315,6.6,1740.0,60.58,4.0,3.9,0.1,23.31,0.0,BPCR90-76,95.0,0.21,0.005,241.48,3.92,3.9,5.35,6.93
36Cl,0.43,3.2,0.99,6.0,11.41,1033.8,0.13,2.7,0.54,1592.0,3.0,5.55,49.0,37.315,6.6,1740.0,77.53,4.0,3.9,0.02,23.31,0.0,BPCR90-78,64.0,0.03,0.005,241.48,2.49,3.9,0.62,6.93
36Cl,1.22,7.0,0.99,6.0,14.06,1033.8,0.28,2.75,2.37,910.0,3.0,4.12,98.0,37.315,6.3,1740.0,71.09,4.0,4.0,0.07,23.31,0.0,BPCR90-79,139.0,0.07,0.005,241.48,3.4,4.0,1.87,6.93
36Cl,1.72,2.9,0.99,6.0,15.25,1033.8,0.35,2.75,3.43,3496.0,3.0,3.68,158.0,37.315,6.6,1760.0,68.19,4.0,3.9,0.05,23.31,0.0,BPCR90-33,58.0,0.11,0.005,241.48,3.15,3.9,3.8,6.93
36Cl,2.33,2.4,0.99,6.0,15.8,1033.8,0.54,2.8,5.17,2771.0,3.0,2.34,95.0,37.315,6.6,1760.0,64.58,4.0,3.9,0.1,23.31,0.0,BPCR90-34,48.0,0.23,0.005,241.48,3.8,3.9,4.24,6.93
36Cl,0.16,0.3,0.99,6.0,11.92,1033.8,0.06,2.7,0.34,15714.0,3.0,3.91,127.0,37.315,6.6,1760.0,78.19,4.0,3.9,0.02,23.31,0.0,BPCR90-35,6.0,0.02,0.005,241.48,3.84,3.9,0.59,6.93
36Cl,0.14,1.0,0.99,6.0,11.89,1033.8,0.06,2.7,0.51,7800.0,3.0,4.35,487.0,37.315,6.6,1760.0,76.58,4.0,3.9,0.01,23.31,0.0,BPCR90-36,19.0,0.02,0.005,241.48,3.41,3.9,0.54,6.93
36Cl,3.36,3.8,0.99,6.0,16.56,1033.8,0.68,2.85,5.94,2579.0,3.0,2.68,113.0,37.315,6.6,1760.0,63.06,4.0,3.9,0.08,23.31,0.0,BPCR90-37,75.0,0.16,0.005,241.48,3.5,3.9,5.0,6.93
36Cl,2.73,13.6,0.98518,3.0,17.673,1033.8,0.648,2.85,6.224,324.18,3.0,2.054,15.816,37.315,9.5,1829.0,59.33,1.9,4.0,0.108,23.31,0.0,BPCR96-12,271.7,0.134,0.005,241.48,3.77,4.0,5.78,6.93
36Cl,2.22,10.4,0.99679,4.4,15.23,1033.8,0.61,2.7,5.38,325.96,3.0,3.27,10.042,37.315,9.0,1829.0,65.06,4.1,1.5,0.08,23.31,0.0,BpCr96-13,208.8,0.04,0.005,241.48,2.93,1.5,4.16,6.93
36Cl,1.69,3.8,0.96,4.4,15.35,1033.8,0.49,2.7,4.45,559.43,3.0,3.28,21.574,37.315,10.5,1829.0,66.57,4.1,2.5,0.07,23.31,0.0,BpCr96-14,75.8,0.03,0.005,241.48,3.17,2.5,3.76,6.93
36Cl,0.1,0.5,0.958,4.4,15.23,1033.8,0.1,2.65,0.73,5003.7,3.0,6.73,110.33,37.315,10.5,1829.0,71.35,4.1,3.0,0.01,23.31,0.0,BpCr96-15,10.4,0.02,0.005,241.48,3.16,3.0,0.76,6.93
36Cl,1.6,0.9,0.99,11.0,15.2,1033.8,0.3,2.85,2.56,1960.0,3.0,4.33,119.0,37.316,6.6,1890.0,71.33,2.8,3.9,0.06,23.31,0.0,BPCR90-19,18.0,0.06,0.005,241.48,3.12,3.9,2.6,6.93
36Cl,0.89,0.6,0.99,11.0,12.02,1033.8,0.05,2.85,0.35,2300.0,3.0,3.88,144.0,37.316,6.6,1890.0,79.0,2.8,3.9,0.01,23.31,0.0,BPCR90-20,11.0,0.03,0.005,241.48,4.07,3.9,0.46,6.93
36Cl,0.38,0.5,0.99,11.0,12.12,1033.8,0.17,2.85,1.07,2364.0,3.0,3.71,200.0,37.316,6.6,1880.0,75.12,2.8,3.9,0.07,23.31,0.0,BPCR90-21,9.0,0.03,0.005,241.48,3.96,3.9,0.7,6.93
36Cl,0.35,3.4,0.99,11.0,14.8,1033.8,0.26,2.85,2.04,480.0,3.0,3.83,58.0,37.313,2.2,1900.0,72.5,2.8,2.5,0.05,23.31,0.0,BPCR91-5,67.0,0.03,0.005,241.48,4.06,2.5,2.02,6.93
36Cl,2.88,4.7,0.99,11.0,17.7,1033.8,0.82,2.85,6.68,430.0,3.0,1.96,26.0,37.313,4.1,1900.0,59.8,2.8,4.6,0.11,23.31,0.0,BPCR91-6,93.0,0.1,0.005,241.48,3.91,4.6,4.96,6.93
36Cl,2.48,11.3,0.99,11.0,17.6,1033.8,0.6,2.85,5.9,410.0,3.0,1.77,39.0,37.313,7.2,1900.0,60.0,2.8,4.3,0.1,23.31,0.0,BPCR91-7,226.0,0.05,0.005,241.48,3.66,4.3,5.84,6.93
36Cl,0.14,0.3,0.99,11.0,12.3,1033.8,0.07,2.85,0.64,6030.0,3.0,4.74,264.0,37.313,6.6,1900.0,77.5,2.8,3.9,0.02,23.31,0.0,BPCR91-8,6.0,0.02,0.005,241.48,3.08,3.9,0.95,6.93
36Cl,2.33,2.4,1.0,0.0,15.8,1033.8,0.54,2.6,5.17,2771.0,1.0,2.34,95.0,37.319,0.0,1760.0,64.58,0.0,0.0,0.1,23.31,0.0,BPCR90-34-Pti1,48.0,0.23,0.005,241.48,3.8,0.0,4.24,6.93
36Cl,2.55,3.9,1.0,11.0,17.8,1033.8,0.66,2.85,5.37,452.0,3.0,2.46,19.0,37.311,7.2,1920.0,60.53,2.8,4.3,0.07,23.31,0.0,BPCR90-73,78.0,0.15,0.005,241.48,4.14,4.3,5.21,6.93
36Cl,3.41,6.2,1.0,11.0,18.35,1033.8,0.77,2.85,6.76,350.0,3.0,2.03,38.0,37.311,5.7,1920.0,57.74,2.8,3.8,0.11,23.31,0.0,BPCR90-74,123.0,0.17,0.005,241.48,3.92,3.8,5.88,6.93
36Cl,2.05,3.6,0.99,11.0,15.8,1033.8,0.46,2.85,4.25,555.0,3.0,3.08,24.0,37.311,7.2,1920.0,64.52,2.8,4.3,0.08,23.31,0.0,BPCR90-75,71.0,0.14,0.005,241.48,3.23,4.3,4.34,6.93
36Cl,2.14,3.2,0.99,11.0,18.6,1033.8,0.67,2.85,5.46,496.0,3.0,1.81,31.0,37.308,8.0,1980.0,60.7,2.8,3.7,0.1,23.31,0.0,BPCR91-1,64.0,0.07,0.005,241.47,4.41,3.7,5.41,6.93
36Cl,0.26,7.2,1.0,11.0,14.7,1033.8,0.13,2.85,1.49,158.0,3.0,3.77,21.0,37.307,5.4,1985.0,75.5,2.8,2.3,0.04,23.31,0.0,BPCR91-2,144.0,0.04,0.005,241.47,3.75,2.3,1.9,6.93
